title,year,peak_position,weeks_on_peak,weeks_on_chart,still_charting
1989,2014,1,11,488,true
reputation,2017,1,4,291,true
TS(Debut),2006,5,0,284,false
Fearless,2008,1,11,261,false
Lover,2019,1,1,243,true
Folklore,2020,1,8,195,true
Speak Now,2010,1,6,193,false
Red, 2012,1,7,185,false
Evermore,2020,1,4,175,true
Fearless TV,2021,1,2,145,true
Red TV,2021,1,1,127,true
Midnights,2022,1,6,78,true
The Taylor Swift Holiday,2007,20,0,43,false
Speak Now TV,2023,1,2,41,true
1989 TV, 2023,1,6,25,true
Beautiful Eyes,2008,9,0,21,false
SN: World Tour,2011,11,0,11,false
Lover:LFP,2023,58,0,1,false
Folk:LPS,2023,3,0,1,false

